N,P,K,temperature,humidity,ph,rainfall,label
57.876841608955615,65.12756736318916,77.65277505331242,18.21495701247882,26.91092465859479,6.452057995632,62.0238021087922,Chickpea
25.94255285137801,15.407850134355181,18.15008275189774,26.057693109635444,94.25890948896686,7.218260719502466,122.83556141788476,Pomegranate
23.05905647018902,19.27431071160214,16.133983273449086,18.674541252920324,92.2864989899845,6.826416290760904,105.2791356452214,Orange
21.28684333424605,24.145287636368636,15.361847975329251,25.167593163043982,86.9371594227956,6.253441613040676,142.970080704316,Coconut
23.599704282421193,69.9227672636664,24.995577032504386,22.69448894082047,28.92529960560995,6.7413295784110705,26.828334532499206,KidneyBeans
17.877359326866596,37.093208806929624,38.458870874831156,32.95578376257586,28.534588855408504,6.260640866344672,55.737157980693226,MothBeans
103.94894501411336,49.294308801208054,52.93615879387603,23.16512892385188,61.33893175582239,6.369191921717423,88.69398278650782,Maize
22.63631915547134,21.879840215236698,41.45628995427687,21.091715553367088,62.94547616996653,6.4051290068711655,94.05986697778205,Grapes
58.653456218751046,68.06441498341863,62.48914194884685,15.768620752761635,27.515606701760447,7.589031088981497,65.35432386333491,Chickpea
98.29966231483806,54.05739040716168,40.5871264648152,32.24135861376014,77.35726234149672,6.237476695005624,176.21715517416155,Jute
92.94310416158048,63.53005180980384,53.23835460315853,29.13699361486542,80.30083232564985,5.8118370193256546,71.59793079068154,Watermelon
34.361527629014674,66.167863181463,20.015179603501664,17.466586158054064,31.483608835215673,6.492870448955517,50.04708547816171,KidneyBeans
17.247602376588194,21.130520258694787,21.282794590652134,24.682139617622532,93.10437093778401,7.453863195687057,109.86441543585343,Orange
21.36943575426879,22.464597592217775,24.276142351480566,30.409182912223883,94.70293732748752,6.0170097115188215,134.99285337714076,Coconut
113.72734506629405,23.98269649633844,33.95884022564772,15.630837370497009,86.88280348897322,3.699715841907305,137.74796913970147,Coffee
92.23701600470486,55.80060872614123,46.09358278196082,11.213789245768783,58.05960357530323,5.847049029973017,84.74755444512309,Wheat
